si,model_path,avg_rho_RMSE,avg_Q_RMSE,avg_P_RMSE,total_RMSE
32,/bigtemp/rnx2bc/holstein-parc/deep_download_scaling_series/si_32/best_epoch_29.pth,0.005438510794192553,0.015262613072991371,0.008539510890841484,0.029240634758025408
64,/bigtemp/rnx2bc/holstein-parc/deep_download_scaling_series/si_64/best_epoch_29.pth,0.004048749804496765,0.011076146736741066,0.005550363101065159,0.02067525964230299
128,/bigtemp/rnx2bc/holstein-parc/deep_download_scaling_series/si_128/best_epoch_29.pth,0.003582186298444867,0.009769601747393608,0.00450036721304059,0.017852155258879066
256,/bigtemp/rnx2bc/holstein-parc/deep_download_scaling_series/si_256/epoch_29.pth,0.004510166589170694,0.010598274879157543,0.005261864047497511,0.02037030551582575
512,/bigtemp/rnx2bc/holstein-parc/deep_download_scaling_series/si_512/epoch_29.pth,0.007196532562375069,0.014085368253290653,0.008513257838785648,0.02979515865445137
1024,/bigtemp/rnx2bc/holstein-parc/deep_download_scaling_series/si_1024/epoch_29.pth,0.008688024245202541,0.01324740331619978,0.008757631294429302,0.030693058855831623
2048,/bigtemp/rnx2bc/holstein-parc/deep_download_scaling_series/si_2048/epoch_29.pth,0.010254706256091595,0.01610276848077774,0.009788647294044495,0.03614612203091383
