si,model_path,avg_rho_RMSE,avg_Q_RMSE,avg_P_RMSE,total_RMSE
32,/bigtemp/rnx2bc/holstein-parc/deep_download_scaling_series/si_32/best_epoch_29.pth,0.013013295829296112,0.1151013970375061,0.04067746549844742,0.16879215836524963
64,/bigtemp/rnx2bc/holstein-parc/deep_download_scaling_series/si_64/best_epoch_29.pth,0.011690786108374596,0.07589974999427795,0.0288778617978096,0.11646839790046215
128,/bigtemp/rnx2bc/holstein-parc/deep_download_scaling_series/si_128/best_epoch_29.pth,0.007358167786151171,0.048233695328235626,0.01845121942460537,0.07404308253899217
256,/bigtemp/rnx2bc/holstein-parc/deep_download_scaling_series/si_256/epoch_29.pth,0.007738466374576092,0.047584112733602524,0.018115408718585968,0.07343798782676458
512,/bigtemp/rnx2bc/holstein-parc/deep_download_scaling_series/si_512/epoch_29.pth,0.009725186042487621,0.06601639091968536,0.025725552812218666,0.10146712977439165
1024,/bigtemp/rnx2bc/holstein-parc/deep_download_scaling_series/si_1024/epoch_29.pth,0.010875536128878593,0.07165366411209106,0.027071869000792503,0.10960106924176216
2048,/bigtemp/rnx2bc/holstein-parc/deep_download_scaling_series/si_2048/epoch_29.pth,0.012072013691067696,0.07585208863019943,0.028211234137415886,0.11613533645868301
